day,asset_price,corporate_balance,noise_count,fundamentalist_count,chartist_count,noise_wealth,fundamentalist_wealth,chartist_wealth
0,100.0,1000000.0,,,,,,
1,326.59,1000000.0,33,33,34,42604.23584510444,43177.093284453236,42665.32271483424
2,316.98,1000000.0,33,33,34,41627.28642500345,42793.63533905376,41557.950698983404
3,99.25,1000000.0,33,33,34,19979.64988812926,19847.013729132832,19933.319376594765
4,327.19,1000000.0,33,33,34,42553.23933618163,44984.75452229746,42539.18236871492
5,296.62,1000000.0,33,33,34,39353.757262680825,42135.06301799435,39475.54447707794
6,100.0,1000000.0,33,33,34,20139.463870580872,19822.365369151692,20022.552175334855
7,100.0,1000000.0,33,33,34,20140.306911402615,19823.05868638024,20023.374058785343
8,347.56,1000000.0,33,33,34,44243.525395422126,48476.17462461806,44430.20626179109
9,338.99,1000000.0,33,33,34,43516.70418795885,47946.37174633984,43556.20103046946
10,337.76,1000000.0,33,33,34,43259.337797476706,48410.09099371807,43463.66777946206
11,102.75,1000000.0,33,33,34,20433.42471923545,20112.760413412496,20301.837768489975
12,325.2,1000000.0,33,33,34,41753.992523621775,48065.347919402586,42184.67725814311
13,100.0,1000000.0,33,33,34,20169.78051106224,19738.506037994553,20062.926411028773
14,100.0,1000000.0,33,33,34,20170.647357623297,19739.09450798024,20063.76386803498
15,93.09,1000000.0,33,33,34,19513.938059251646,18848.246259972057,19399.107573305617
16,94.54,1000000.0,33,33,34,19651.99623218529,18896.752195042507,19665.164859320757
17,97.25,1000000.0,33,33,34,19911.415875870036,19245.3542493851,19918.72643820705
18,99.77,1000000.0,33,33,34,20149.116054788512,19583.697993695016,20142.086781739563
19,318.05,1000000.0,33,33,34,40720.953341626046,50456.796544246616,38475.033433472505
20,100.0,1000000.0,33,33,34,20172.274851566373,19599.86235739836,20172.627921232546
21,100.0,1000000.0,33,33,34,20173.157040069986,19600.306994971445,20173.59601796741
22,96.95,1000000.0,33,33,34,19887.04950968274,19009.681373338928,20064.04934579815
23,97.78,1000000.0,33,33,34,19966.629667813904,19120.90364316909,20133.746750959144
24,318.22,1000000.0,33,33,34,40787.39409081532,52163.63385872764,36729.2608533835
25,365.59,1000000.0,33,33,34,45286.43282629105,59622.51852923857,40500.25944024355
