case_id,firm_symbol,claim_id,opened_day,legal_track,authority,state,priority,trigger,assessment_id,correction_due_day,decision_day,publication_day,closed_day,remedy,calculated_penalty,applicable_cap,applied_penalty,redress,cross_border_consumer_case,duration_days,state_history,outcome,confidence,rule_ids,reasons,policy_regime
R-60-1,MID1,C-MID1-6,60,financial_markets,market_disclosure,closed,0.94,random_surveillance,A-60-1,,60,60,60,correct_and_publish,800834.6216290392,7000000.0,800834.62,0.0,False,0,60:screened|60:evidence_requested|60:under_assessment|60:formal_investigation|60:decided|60:published|60:closed,overstatement,0.3585688546193142,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-60-2,MID2,C-MID2-6,60,financial_markets,market_disclosure,closed,0.94,random_surveillance,A-60-2,,60,60,60,correct_and_publish,348717.1736621616,4800000.0,348717.17,0.0,False,0,60:screened|60:evidence_requested|60:under_assessment|60:formal_investigation|60:decided|60:published|60:closed,overstatement,0.2452100561722371,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-60-3,GRN2,C-GRN2-3,60,consumer,ucpd_base,closed,0.9,random_surveillance,A-60-3,,60,60,60,withdraw_publish_and_redress,1361525.0,8000000.0,1361525.0,32000.0,False,0,60:screened|60:evidence_requested|60:under_assessment|60:formal_investigation|60:decided|60:published|60:closed,overstatement,0.360546875,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION,Material greener-than-evidence representation.,current_eu_supervision
R-60-4,BRN1,C-BRN1-5,60,consumer,ucpd_base,closed,0.8500000000000001,risk_screening,A-60-4,,60,60,60,withdraw_publish_and_redress,1034747.7774785261,6000000.0,1034747.78,24000.0,False,0,60:screened|60:evidence_requested|60:under_assessment|60:formal_investigation|60:decided|60:published|60:closed,overstatement,0.36181270940481175,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION,Material greener-than-evidence representation.,current_eu_supervision
R-60-5,GRN1,C-GRN1-5,60,consumer,ucpd_base,closed,0.8500000000000001,random_surveillance,A-60-5,,,,60,none,0.0,0.0,0.0,0.0,False,0,60:screened|60:evidence_requested|60:under_assessment|60:closed,supported,0.24397203947368423,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION,Claim is not greener than the evidence estimate.,current_eu_supervision
R-60-6,GRN2,C-GRN2-5,60,consumer,ucpd_base,closed,0.8500000000000001,risk_screening,A-60-6,,60,60,60,withdraw_publish_and_redress,1361525.0,8000000.0,338242.59,0.0,False,0,60:screened|60:evidence_requested|60:under_assessment|60:formal_investigation|60:decided|60:published|60:closed,overstatement,0.360546875,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION,Material greener-than-evidence representation.,current_eu_supervision
R-60-7,MID1,C-MID1-5,60,consumer,ucpd_base,under_assessment,0.8500000000000001,risk_screening,A-60-7,,,,,none,0.0,0.0,0.0,0.0,False,,60:screened|60:evidence_requested|60:under_assessment,overstatement,0.36272511659593404,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION,Material greener-than-evidence representation.,current_eu_supervision
R-60-8,BRN1,C-BRN1-6,60,financial_markets,market_disclosure,under_assessment,0.75,risk_screening,A-60-8,,,,,none,0.0,0.0,0.0,0.0,False,,60:screened|60:evidence_requested|60:under_assessment,overstatement,0.36156457981046747,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-60-9,BRN2,C-BRN2-6,60,financial_markets,market_disclosure,under_assessment,0.75,risk_screening,A-60-9,,,,,none,0.0,0.0,0.0,0.0,False,,60:screened|60:evidence_requested|60:under_assessment,overstatement,0.3671574009429201,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-60-10,GRN2,C-GRN2-6,60,financial_markets,market_disclosure,under_assessment,0.75,risk_screening,A-60-10,,,,,none,0.0,0.0,0.0,0.0,False,,60:screened|60:evidence_requested|60:under_assessment,systemic_abuse,0.3576185069373826,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
