day,asset_price,corporate_balance,noise_count,fundamentalist_count,chartist_count,noise_wealth,fundamentalist_wealth,chartist_wealth,market_maker_wealth,manipulator_wealth,p_green,aggregate_dg,credibility_index,scandals_cum,greenwash_extracted,green_bond_stock,bond_coupons_cum,bank_required_reserves,reserve_shortfalls_cum,BRN1_disclosed,BRN1_true,BRN2_disclosed,BRN2_true,BRN3_disclosed,BRN3_true,MID1_disclosed,MID1_true,MID2_disclosed,MID2_true,MID3_disclosed,MID3_true,MID4_disclosed,MID4_true,GRN1_disclosed,GRN1_true,GRN2_disclosed,GRN2_true,GRN3_disclosed,GRN3_true
0,100.0,2462500.0,,,,,,,,,,,,,,,,,,0.05,0.05,0.15,0.15,0.25,0.25,0.35,0.35,0.45,0.45,0.55,0.55,0.65,0.65,0.75,0.75,0.85,0.85,0.95,0.95
1,99.61092307692306,2453345.6713540107,33,33,34,108431.67562429064,108431.94131052976,108432.8331770212,1996202.1170627417,2468695.6918945946,1.0039164890985561,-0.013783849633698338,0.600000000000001,0,0.0,0.0,0.0,0.0,0,0.05,0.049946528152943245,0.15,0.14966671722085492,0.25,0.24933136041437068,0.35,0.34890936849214577,0.45,0.44836217608598705,0.55,0.548,0.65,0.648,0.75,0.748,0.85,0.848,0.95,0.948
2,99.06977777777779,2436694.128471976,33,33,34,102714.59413938322,102745.23234577992,102697.17176765806,1990868.3055167631,2353705.201858163,1.0026762045679638,-0.013735329102011657,0.600000000000001,0,0.0,0.0,0.0,0.0,0,0.05,0.04989787517245288,0.15,0.149339927018661,0.25,0.24867119389763317,0.35,0.3478306848041096,0.45,0.4467411403714333,0.55,0.546,0.65,0.646,0.75,0.746,0.85,0.846,0.95,0.946
3,98.38142857142859,2444658.200409999,33,33,34,102898.66448562403,102929.37735873343,102885.1277325406,1984037.00216981,2357614.624528368,1.006918119314694,-0.01361798624129525,0.600000000000001,0,0.0,0.0,0.0,0.0,0,0.05,0.04987338901442471,0.15,0.14903669499436045,0.25,0.24803300430105796,0.35,0.34677480026819785,0.45,0.4451449464449537,0.55,0.544,0.65,0.644,0.75,0.744,0.85,0.844,0.95,0.944
4,98.56571428571428,2454321.73489365,33,33,34,103077.35609487827,103125.43365107742,103071.42965585143,1985969.2649725708,2360903.877627911,1.0108143415771031,-0.013654430522290154,0.600000000000001,0,0.0,0.0,0.0,0.0,0,0.05,0.04984127689936842,0.15,0.14872555172426163,0.25,0.2473856260170945,0.35,0.34571128763577513,0.45,0.4435446622242049,0.55,0.542,0.65,0.642,0.75,0.742,0.85,0.842,0.95,0.942
5,99.036,2462432.831149368,33,33,34,101767.95705157233,101953.11008355013,101792.70192635694,1990774.5086639423,2331851.854153945,1.015342663938554,-0.013700523225824303,0.600000000000001,0,0.0,0.0,0.0,0.0,0,0.05,0.04980014741468318,0.15,0.14840350351793846,0.25,0.2467282294696278,0.35,0.3446383376930015,0.45,0.44193766317962935,0.55,0.54,0.65,0.64,0.75,0.74,0.85,0.84,0.95,0.94
6,99.036,2462432.831149368,33,33,34,101768.8016597536,101954.09392009552,101793.5747571914,1990855.8594742254,2331891.2469114107,1.015342663938554,0.0,0.600000000000001,0,0.0,0.0,0.0,0.0,0,0.05,0.04980014741468318,0.15,0.14840350351793846,0.25,0.2467282294696278,0.35,0.3446383376930015,0.45,0.44193766317962935,0.55,0.54,0.65,0.64,0.75,0.74,0.85,0.84,0.95,0.94
7,99.036,2462432.831149368,33,33,34,101769.64633735473,101955.07783750423,101794.44765976531,1990937.2169708763,2331930.642906637,1.015342663938554,0.0,0.600000000000001,0,0.0,0.0,0.0,0.0,0,0.05,0.04980014741468318,0.15,0.14840350351793846,0.25,0.2467282294696278,0.35,0.3446383376930015,0.45,0.44193766317962935,0.55,0.54,0.65,0.64,0.75,0.74,0.85,0.84,0.95,0.94
8,99.13,2461338.503284192,33,33,34,101517.68185100799,101724.36026189175,101550.06463725651,1991963.0560221223,2326545.37816038,1.0279406554915635,-0.013853224640428529,0.600000000000001,0,0.0,0.0,0.0,0.0,0,0.05,0.04973259810334926,0.15,0.1480543616137382,0.25,0.24603853334087253,0.35,0.3435334580071336,0.45,0.4402957055693582,0.55,0.538,0.65,0.638,0.75,0.738,0.85,0.838,0.95,0.938
9,99.77576923076923,2457606.64072633,33,33,34,102039.3995014868,102242.74479920379,102074.24710875124,1998525.6857446558,2337134.164769703,1.0287635026573132,-0.013846214423368818,0.600000000000001,0,0.0,0.0,0.0,0.0,0,0.05,0.04966327265599252,0.15,0.1477038435270307,0.25,0.24534870823644678,0.35,0.3424317901805908,0.45,0.4386608276110222,0.55,0.536,0.65,0.636,0.75,0.736,0.85,0.836,0.95,0.9359999999999999
10,99.22703703703706,2461781.344157779,33,33,34,102091.481039809,102289.41632163044,102123.73409911759,1993109.5276556606,2338307.5289448136,1.0364814824746902,-0.01393159967711099,0.600000000000001,0,0.0,0.0,0.0,0.0,0,0.05,0.049578112019737,0.15,0.1473358913835361,0.25,0.24464166579374547,0.35,0.341312677960773,0.45,0.4370084953761804,0.55,0.534,0.65,0.634,0.75,0.734,0.85,0.834,0.95,0.9339999999999999
11,99.37176470588236,2454481.587115356,33,33,34,102265.79765728342,102460.87376397532,102296.14015007841,1994648.0317570406,2341871.5480337767,1.0144846791607591,-0.013618016553341014,0.600000000000001,0,0.0,0.0,0.0,0.0,0,0.05,0.049538930215636795,0.15,0.14702002888258064,0.25,0.24399523145380583,0.35,0.34026421347061525,0.45,0.4354404219579925,0.55,0.532,0.65,0.632,0.75,0.732,0.85,0.832,0.95,0.9319999999999999
12,98.67645161290324,2446432.747748126,33,33,34,101648.32661266276,101871.91505589732,101689.1500070117,1987758.161818493,2329312.2189214635,1.03071360776261,-0.013820279594900823,0.600000000000001,0,0.0,0.0,0.0,0.0,0,0.05,0.04946534755741041,0.15,0.14666767821026727,0.25,0.24330741283010376,0.35,0.3391719690793005,0.45,0.4338261387086483,0.55,0.53,0.65,0.63,0.75,0.73,0.85,0.83,0.95,0.9299999999999999
13,98.67645161290324,2446432.747748126,33,33,34,101649.12051289411,101872.901191936,101690.01561896694,1987839.629687043,2329351.8984296313,1.03071360776261,0.0,0.600000000000001,0,0.0,0.0,0.0,0.0,0,0.05,0.04946534755741041,0.15,0.14666767821026727,0.25,0.24330741283010376,0.35,0.3391719690793005,0.45,0.4338261387086483,0.55,0.53,0.65,0.63,0.75,0.73,0.85,0.83,0.95,0.9299999999999999
14,98.67645161290324,2446432.747748126,33,33,34,101649.91447837751,101873.88740902691,101690.88130206832,1987921.1042515822,2329391.581199128,1.03071360776261,0.0,0.600000000000001,0,0.0,0.0,0.0,0.0,0,0.05,0.04946534755741041,0.15,0.14666767821026727,0.25,0.24330741283010376,0.35,0.3391719690793005,0.45,0.4338261387086483,0.55,0.53,0.65,0.63,0.75,0.73,0.85,0.83,0.95,0.9299999999999999
15,98.71000000000001,2439185.155161832,33,33,34,101407.15878826326,101619.07066363984,101445.5391243941,1988342.4799273447,2324837.984553554,1.0830665376533126,-0.014505329378946526,0.600000000000001,0,0.0,0.0,0.0,0.0,0,0.05,0.049281664127097106,0.15,0.14619489726564303,0.25,0.24248511276431928,0.35,0.33792949657218396,0.45,0.4320420462775403,0.55,0.528,0.65,0.628,0.75,0.728,0.85,0.828,0.95,0.9279999999999999
16,98.60050000000001,2434819.004227876,33,33,34,101624.2570391194,101826.83146453806,101659.86838141827,1987327.0745751718,2329327.2451328584,1.102713669161798,-0.014745120162907004,0.600000000000001,0,0.0,0.0,0.0,0.0,0,0.05,0.0490569411873665,0.15,0.14567851407823262,0.25,0.24161444419032166,0.35,0.33663619473619405,0.45,0.43020200265176184,0.55,0.526,0.65,0.626,0.75,0.726,0.85,0.826,0.95,0.9259999999999999
